Name,Brand,Condition,ROM,Warranty,Min_Price ($),Max_Price ($),Shipment_Cost ($),Sold_Count
NEW SAMSUNG GALAXY S21 FE SM G990U CDMA,Samsung,Brand New,128GB,0,166.88,166.88,0,193
NEW SEALED Samsung Galaxy Note 20 Ultra N986U CDMA,Samsung,Brand New,128GB,0,256.88,256.88,0,121
Samsung Galaxy S24 Ultra S928U Good,Samsung,Good - Refurbished,512GB,0,548.99,548.99,0,0
45W Type USB C Super Fast Wall Charger Cable for Samsung Galaxy S24 S23 S22,,Brand New,,0,1.49,1.49,0,43
Apple iPhone 14 Plus 128 256,Apple,Excellent - Refurbished,512GB,0,364.99,399.99,0,29
Apple iPhone 14,Apple,Excellent - Refurbished,512GB,0,379.99,379.99,0,24
Apple iPhone 13 Verizon AT&T T Mobile,Apple,Excellent - Refurbished,128GB,0,288.99,399.99,0,0
Apple iPhone 6s AT&T T Mobile Verizon,Apple,Pre-Owned,32GB,0,41,89,0,0
NEW SEALED Samsung Galaxy S23 Ultra S918U US,Samsung,Brand New,256GB,0,435.55,512.66,0,0
Google Pixel 8 8 Pro T Mobile AT&T Verizon,Google,Very Good - Refurbished,256GB,0,219.99,439.99,0,51
NEW SAMSUNG GALAXY NOTE 20 SM N981U CDMA,Samsung,Brand New,128GB,0,214.88,214.88,0,1314
Google Pixel 10 Pro XL Obsidian Carrier,Google,Open Box,256GB,0,749.98,749.98,0,51
Samsung Galaxy S22 SM S906U1 Good,Samsung,Pre-Owned,128GB,0,154.95,179.95,0,0
Apple iPhone 15 Pro,Apple,Very Good - Refurbished,512GB,0,559.83,599.83,0,0
Apple iPhone 12,Apple,Excellent - Refurbished,256GB,0,229.99,259.99,0,15
Apple iPhone 12 Pro Used,Apple,Pre-Owned,512GB,0,264.99,274.99,0,379
Apple iPhone 12 Smartphone Good,Apple,Good - Refurbished,64GB,0,179.99,229.99,0,101
Apple iPhone 14 Pro Max,Apple,Very Good - Refurbished,512GB,0,531.08,599.83,0,17
